UID,good-score,good,bad-score,bad,linguistics_term
327,,دافع الجنود عن بلادهم,,دافعوا الجنود عن بلادهم,VS- V NOT agrees S in number
328,,أخذت المعلمات قسطاً من الراحة,,أخذن المعلمات قسطاً من الراحة,VS- V NOT agrees S in number
329,,طلب رجال الإطفاء الابتعاد عن المكان,,طلبوا رجال الإطفاء الابتعاد عن المكان,VS- V NOT agrees S in number
330,,انتقل الناس إلى مكان جديد,,انتقلوا الناس إلى مكان جديد,VS- V NOT agrees S in number
331,,شاهد الجميع الحفل الفني,,شاهدوا الجميع الحفل الفني,VS- V NOT agrees S in number
332,,استطاع المثابرون تحقيق أحلامهم,,استطاعوا المثابرون تحقيق أحلامهم,VS- V NOT agrees S in number
333,,كشف الخبراء عن الحقائق,,كشفوا الخبراء عن الحقائق,VS- V NOT agrees S in number
334,,تناقش المفكرون بالأدلة,,تناقشوا المفكرون بالأدلة,VS- V NOT agrees S in number
335,,اجتمع الوزراء,,اجتمعوا الوزراء,VS- V NOT agrees S in number
336,,أصدر المسؤولان قرارات جديدة,,أصدرا المسؤولان قرارات جديدة,VS- V NOT agrees S in number
337,,استخدم العاملان آلات جديدة,,استخدما العاملان آلات جديدة,VS- V NOT agrees S in number
338,,ضمدت الممرضات الجرحى,,ضمدن الممرضات الجرحى,VS- V NOT agrees S in number
339,,أخمد رجال الإطفاء الحريق,,أخمدوا رجال الإطفاء الحريق,VS- V NOT agrees S in number
340,,قطع الفلاحون الأشجار,,قطعوا الفلاحون الأشجار,VS- V NOT agrees S in number
341,,نشرت المعلمات الوعي,,نشرن المعلمات الوعي,VS- V NOT agrees S in number
342,,شرح المدراء الأوامر,,شرحوا المدراء الأوامر,VS- V NOT agrees S in number
343,,تناول الأطفال الفطور,,تناولوا الأطفال الفطور,VS- V NOT agrees S in number
344,,نام الأطفال في وقت باكر,,ناموا الأطفال في وقت باكر,VS- V NOT agrees S in number
345,,اندفع اللاعبون نحو الهدف,,اندفعوا اللاعبون نحو الهدف,VS- V NOT agrees S in number
346,,يستخرج العمال الفحم,,يستخرجون العمال الفحم,VS- V NOT agrees S in number
347,,تكتب الطالبات الوظيفة,,تكتبن الطالبات الوظيفة,VS- V NOT agrees S in number
348,,تعمل الفلاحتان بنشاط كبير,,تعملان الفلاحتان بنشاط كبير,VS- V NOT agrees S in number
349,,اقتلع الأولاد جذور الشجر,,اقتلعوا الأولاد جذور الشجر,VS- V NOT agrees S in number
350,,نام الجنود على الأرض من التعب,,ناموا الجنود على الأرض من التعب,VS- V NOT agrees S in number
351,,صممت المهندسات المشروع,,صمموا المهندسات المشروع,VS- V NOT agrees S in number
352,,تنهل التلميذات من فيض المعرفة,,ينهلن التلميذات من فيض المعرفة,VS- V NOT agrees S in number
353,,اكتفى الجميع بالمشاهدة,,اكتفوا الجميع بالمشاهدة,VS- V NOT agrees S in number
354,,غادر المسافرون صالة الانتظار,,غادروا المسافرون صالة الانتظار,VS- V NOT agrees S in number
355,,صعد المغادرون متن السفينة,,صعدوا المغادرون متن السفينة,VS- V NOT agrees S in number
356,,تعامل الأصدقاء مع بعضهم باحترام,,تعاملوا الأصدقاء مع بعضهم باحترام,VS- V NOT agrees S in number
357,,أوقف المدافعون هجمات العدو,,أوقفوا المدافعون هجمات العدو,VS- V NOT agrees S in number
358,,أدخل اللاعبون أهداف كثيرة,,أدخلوا اللاعبون أهداف كثيرة,VS- V NOT agrees S in number
359,,قاد المسلمون العالم,,قادوا المسلمون العالم,VS- V NOT agrees S in number
360,,أهدى المسلمون العالم مبادئ السلام,,أهدوا المسلمون العالم مبادئ السلام,VS- V NOT agrees S in number
361,,أقبل الفريقان,,أقبلا الفريقان,VS- V NOT agrees S in number
362,,يخشى المؤمنون الله,,يخشون المؤمنون الله,VS- V NOT agrees S in number
363,,يلتزم المسلمون بتعاليم دينهم,,يلتزموا المسلمون بتعاليم دينهم,VS- V NOT agrees S in number
364,,اقترب اللاعبون من خط النهاية,,اقتربوا اللاعبون من خط النهاية,VS- V NOT agrees S in number
365,,كتبت المراقبات الأخطاء,,كتبوا المراقبات الأخطاء,VS- V NOT agrees S in number
366,,يزيل العاملان الأوساخ,,يزيلان العاملان الأوساخ,VS- V NOT agrees S in number
367,,اجتمع المدرسون في القاعة,,اجتمعوا المدرسون في القاعة,VS- V NOT agrees S in number
368,,كتب المعلمان أسئلة الامتحان,,كتبا المعلمان أسئلة الامتحان,VS- V NOT agrees S in number
369,,ذهب الفتاتان إلى المسرح,,ذهبتا الفتاتان إلى المسرح,VS- V NOT agrees S in number
370,,شربت الطفلتان الدواء,,شربتا الطفلتان الدواء,VS- V NOT agrees S in number
371,,اهتمت الطبيبات بصحة المرضى,,اهتممن الطبيبات بصحة المرضى,VS- V NOT agrees S in number
372,,يفرح الجنود بالنصر,,يفرحون الجنود بالنصر,VS- V NOT agrees S in number
373,,تشتري الطفلتان الحلوى,,تشتريان الطفلتان الحلوى,VS- V NOT agrees S in number
374,,تلعب المدربات مع الأطفال,,تلعبن المدربات مع الأطفال,VS- V NOT agrees S in number
375,,اقتدى الشباب بمعلميهم,,اقتدوا الشباب بمعلميهم,VS- V NOT agrees S in number
376,,يصبر المؤمنون عند المصائب,,يصبرون المؤمنون عند المصائب,VS- V NOT agrees S in number
377,,سقى الفلاحون الأرض,,سقوا الفلاحون الأرض,VS- V NOT agrees S in number
378,,يقفز اللاعبون من فوق الستار,,يقفزوا اللاعبون من فوق الستار,VS- V NOT agrees S in number
379,,يجري الفريقان حول المضمار,,يجريان الفريقان حول المضمار,VS- V NOT agrees S in number
380,,رحم المسلمون الأسرى,,رحموا المسلمون الأسرى,VS- V NOT agrees S in number
381,,نهض الطلاب احتراماً للمعلم,,نهضوا الطلاب احتراماً للمعلم,VS- V NOT agrees S in number
382,,وضع المستثمرون أمولهم في المصرف,,وضعوا المستثمرون أموالهم في المصرف,VS- V NOT agrees S in number
383,,صنع الخياطون الملابس,,صنعوا الخياطون الملابس,VS- V NOT agrees S in number
384,,يحتفل الناس في يوم العيد,,يحتفلوا الناس في يوم العيد,VS- V NOT agrees S in number
385,,يتأرجح الطفلان على المراجيح,,يتأرجحا الطفلان على المراجيح,VS- V NOT agrees S in number
386,,صنع المختصون الدواء,,صنعوا المختصون الدواء,VS- V NOT agrees S in number
387,,استغل الاقطاعيون الفلاحين,,استغلوا الاقطاعيون الفلاحين,VS- V NOT agrees S in number
388,,أفاد الباحثون بتجاربهم,,أفادوا الباحثون بتجاربهم,VS- V NOT agrees S in number
389,,اندفع الفرسان نحو العدو,,اندفعوا الفرسان نحو العدو ,VS- V NOT agrees S in number
390,,اهتم العلماء بالحشرات,,اهتموا العلماء بالحشرات,VS- V NOT agrees S in number
391,,ساهم المتبرعون بحملة التبرع,,ساهموا المتبرعون بحملة التبرع,VS- V NOT agrees S in number
392,,شرب الجنود من النهر,,شربوا الجنود من النهر,VS- V NOT agrees S in number
393,,زارت التلميذات معالم أثرية,,زرن التلميذات معالم أثرية,VS- V NOT agrees S in number
394,,لحق الجنود أتباع موسى,,لحقوا الجنود أتباع موسى,VS- V NOT agrees S in number
395,,سقى الرعاة الأبل من النبع,,سقوا الرعاة الأبل من النبع,VS- V NOT agrees S in number
396,,عاش الأطفال في رغد العيش,,عاشوا الأطفال في رغد العيش,VS- V NOT agrees S in number
397,,عالجت الطبيبات جميع المرضى,,عالجن الطبيبات جميع المرضى,VS- V NOT agrees S in number
398,,فرح الأطفال بالهدايا,,فرحوا الأطفال بالهدايا,VS- V NOT agrees S in number
399,,نشرت الأديبات أفكارهم بين الناس,,نشرن الأديبات أفكارهم بين الناس,VS- V NOT agrees S in number
400,,أوجد المفكرون حلول المشكلة,,أوجدوا المفكرون حلول المشكلة,VS- V NOT agrees S in number
401,,درس الباحثون حالات الاكتئاب,,درسوا الباحثون حالات الاكتئاب,VS- V NOT agrees S in number
402,,ترعرع الشباب تحت لواء الوطن,,ترعرعوا الشباب تحت لواء الوطن,VS- V NOT agrees S in number
403,,صام المسلمون شهر رمضان,,صاموا المسلمون شهر رمضان,VS- V NOT agrees S in number
404,,تدربت التلميذات على الحاسوب,,تدربن التلميذات على الحاسوب,VS- V NOT agrees S in number
405,,ساهم المسؤولون في حملة التشجير,,ساهموا المسؤولون في حملة التشجير,VS- V NOT agrees S in number
406,,زارت الخبيرتان مستودع الأدوية,,زارتا الخبيرتان مستودع الأدوية,VS- V NOT agrees S in number
407,,تستخدم الموظفات أجهزة الحاسوب,,تستخدمن الموظفات أجهزة الحاسوب,VS- V NOT agrees S in number
408,,يقابل المتسابقون مدير المركز,,يقابلوا المتسابقون مدير المركز,VS- V NOT agrees S in number
409,,اقتبس المؤلفون الأمثال الشعبية,,اقتبسوا المؤلفون الأمثال الشعبية,VS- V NOT agrees S in number
410,,انتقلت التلميذتان من مدرسة لأخرى,,انتقلتا التلميذتان من مدرسة لأخرى,VS- V NOT agrees S in number
411,,فتح المسلمون الأندلس,,فتحوا المسلمون الأندلس,VS- V NOT agrees S in number
412,,شارك المتسابقون في مسابقات فكرية,,شاركوا المتسابقون في مسابقات فكرية,VS- V NOT agrees S in number
413,,شاهدت المعلمات الوظائف,,شاهدن المعلمات الوظائف,VS- V NOT agrees S in number
414,,جهز الطباخان الطعام,,جهزا الطباخان الطعام,VS- V NOT agrees S in number
415,,تعاونت الصديقتان على حل الواجب,,تعاونتا الصديقتان على حل الواجب,VS- V NOT agrees S in number
416,,حاك النساجون السجاد,,حاكوا النساجون السجاد,VS- V NOT agrees S in number
417,,قامت الممثلات بتجسيد الأدوار,,قمن الممثلات بتجسيد الأدوار,VS- V NOT agrees S in number
418,,ذهبت الفتيات إلى الحفل,,ذهبن الفتيات إلى الحفل,VS- V NOT agrees S in number
419,,تفوق الطلاب في مادة العربي,,تفوقوا الطلاب في مادة العربي,VS- V NOT agrees S in number
420,,ترجم المؤلفان الرواية إلى الإنجليزية,,ترجما المؤلفان الرواية إلى الإنجليزية,VS- V NOT agrees S in number
421,,اقترح المشرفون الأفكار الجديدة,,اقترحوا المشرفون الأفكار الجديدة,VS- V NOT agrees S in number
422,,عرض النجمان حفل المساء,,عرضا النجمان حفل المساء,VS- V NOT agrees S in number
423,,حكم القضاة بالبراءة للمتهم,,حكموا القضاة بالبراءة للمتهم,VS- V NOT agrees S in number
424,,استشهد الجنديان في المعركة,,استشهدا الجنديان في المعركة,VS- V NOT agrees S in number
425,,صعد المتسابقون الجبل,,صعدوا المتسابقون الجبل,VS- V NOT agrees S in number
426,,أخذ الفائزان الجائزة,,أخذا الفائزان الجائزة,VS- V NOT agrees S in number
427,,استطاع الممرضون إنقاذ المريض,,استطاعوا الممرضون إنقاذ المريض ,VS- V NOT agrees S in number
428,,قامت المشرفات بتوزيع الهدايا,,قمن المشرفات بتوزيع الهدايا,VS- V NOT agrees S in number
429,,شرب الزوار العصير,,شربوا الزوار العصير,VS- V NOT agrees S in number
430,,جهزت الفتيات الحلوى,,جهزن الفتيات الحلوى,VS- V NOT agrees S in number
431,,هرب السجينان من السجن,,هربا السجينان من السجن,VS- V NOT agrees S in number
432,,أسلم الكافرون,,أسلموا الكافرون,VS- V NOT agrees S in number
433,,اصطاد الصيادان السمك,,اصطادا الصيادان السمك,VS- V NOT agrees S in number
434,,اشترى العمال مستلزمات البناء,,اشتروا العمال مستلزمات البناء,VS- V NOT agrees S in number
435,,جهز المسافران الحقائب,,جهزا المسافران الحقائب,VS- V NOT agrees S in number
436,,صعد الأولاد على سطح المنزل,,صعدوا الأولاد على سطح المنزل,VS- V NOT agrees S in number
437,,جلس الأطفال على الرمل,,جلسوا الأطفال على الرمل,VS- V NOT agrees S in number
438,,روض السائسون الأحصنة,,روضوا السائسون الأحصنة,VS- V NOT agrees S in number
439,,أعلن الحكمان إنهاء المباراة,,أعلنا الحكمان إنهاء المباراة,VS- V NOT agrees S in number
440,,خطط المستشارون لمشروع حيوي,,خططوا المستشارون لمشروع حيوي,VS- V NOT agrees S in number
441,,أذاع المذيعون النشرة الرياضية,,أذاعوا المذيعون النشرة الرياضية,VS- V NOT agrees S in number
442,,قصد السياح مدينة دمشق,,قصدوا السياح مدينة دمشق,VS- V NOT agrees S in number
443,,خرج المتقاعدون من عملهم,,خرجوا المتقاعدون من عملهم,VS- V NOT agrees S in number
444,,أنشد المنشدان أناشيد جميلة,,أنشدا المنشدان أناشيد جميلة,VS- V NOT agrees S in number
445,,غفل المنافقان عن ذكر الله,,غفلا المنافقان عن ذكر الله,VS- V NOT agrees S in number
446,,حافظ الفلاحون على الثروة الحيوانية,,حافظوا الفلاحون على الثروة الحيوانية,VS- V NOT agrees S in number
447,,تتحدث المدرستان عن الحيوان,,تتحدثان المدرستان عن الحيوان,VS- V NOT agrees S in number
448,,يكتشف الغواصون أعماق البحار,,يكتشفوا الغواصون أعماق البحار,VS- V NOT agrees S in number
449,,يزرع الفلاحان أرضهما بالعنب والتين,,يزرعان الفلاحان أرضهما بالعنب والتين,VS- V NOT agrees S in number
450,,ينشر الصالحون الخير في البلاد,,ينشروا الصالحون الخير في البلاد,VS- V NOT agrees S in number
451,,يصنع الحدادون الدروع,,يصنعوا الحدادون الدروع,VS- V NOT agrees S in number
452,,يلبس الأطفال ثياب جديدة في العيد,,يلبسوا الأطفال ثياب جديدة في العيد,VS- V NOT agrees S in number
453,,تقرأ المؤمنات القرآن,,يقرأن المؤمنات القرآن,VS- V NOT agrees S in number
454,,حفظ الطلاب الحديث النبوي,,حفظوا الطلاب الحديث النبوي,VS- V NOT agrees S in number
455,,فرح الطلاب بالرحالة الصيفية,,فرحوا الطلاب بالرحالة الصيفية,VS- V NOT agrees S in number
456,,تابع الأصدقاء مشاهدة المسرحية,,تابعوا الأصدقاء مشاهدة المسرحية,VS- V NOT agrees S in number
457,,نشرت المعلمتان العلم في قريتنا,,نشرتا المعلمتان العلم في قريتنا,VS- V NOT agrees S in number
458,,نال المجدون الجائزة,,نالوا المجدون الجائزة,VS- V NOT agrees S in number
459,,أفلح المؤمنون,,أفلحوا المؤمنون,VS- V NOT agrees S in number
460,,خسر الكافرون,,خسروا الكافرون,VS- V NOT agrees S in number
461,,أخلص العمال في عملهم,,أخلصوا العمال في عملهم,VS- V NOT agrees S in number
462,,أجرت المعلمات اختبارات شفهية,,أجرين المعلمات اختبارات شفهية,VS- V NOT agrees S in number
463,,انطلق اللاعبون خلف الكرة,,انطلقوا اللاعبون خلف الكرة,VS- V NOT agrees S in number
464,,ملأ العمال البركة بالماء,,ملأوا العمال البركة بالماء,VS- V NOT agrees S in number
465,,رقص الفنانون على ألحان الموسيقى,,رقصوا الفانون على ألحان الموسيقى,VS- V NOT agrees S in number
466,,يعتذر المقصرون في الاختبار لمعلمهم,,يعتذروا المقصرون في الاختبار لمعلمهم,VS- V NOT agrees S in number
467,,ينزل العاملان أكياس القمح,,ينزلان العاملان أكياس القمح,VS- V NOT agrees S in number
468,,يحارب المسؤولون الفساد,,يحاربوا المسؤولون الفساد,VS- V NOT agrees S in number
469,,يبحث الفلكيون عن كواكب جديدة,,يبحثوا الفلكيون عن كواكب جديدة,VS- V NOT agrees S in number
470,,نام الحجاج في منى,,ناموا الحجاج في منى,VS- V NOT agrees S in number
471,,أصلح النجارون أبواب المدرسة,,أصلحوا النجارون أبواب المدرسة,VS- V NOT agrees S in number
472,,وقف الحجاج على جبل عرفة,,وقفوا الحجاج على جبل عرفة,VS- V NOT agrees S in number
473,,رمى الحجاج الجمرات,,رموا الحجاج الجمرات,VS- V NOT agrees S in number
474,,طاف الحجاج حول الكعبة,,طافوا الحجاج حول الكعبة,VS- V NOT agrees S in number
475,,ذبح المسلمون الأضاحي في العيد,,ذبحوا المسلمون الأضاحي في العيد,VS- V NOT agrees S in number
476,,آمن الناس بالله,,آمنوا الناس بالله,VS- V NOT agrees S in number
477,,جنى الشركاء أرباح كثيرة,,جنوا الشركاء أرباح كثيرة,VS- V NOT agrees S in number
478,,عثر الشرطيان على السارق,,عثرا الشرطيان على السارق,VS- V NOT agrees S in number
479,,افتتحت المهندسات الشركة,,افتتحن المهندسات الشركة,VS- V NOT agrees S in number
480,,حفر العمال البئر ,,حفروا العمال البئر,VS- V NOT agrees S in number
481,,هجر الناس البادية,,هجروا الناس البادية,VS- V NOT agrees S in number
482,,بحث الناس عن المرعى,,بحثوا الناس عن المرعى,VS- V NOT agrees S in number
483,,شرب الكفار المنكر,,شربوا الكفار المنكر,VS- V NOT agrees S in number
484,,ربى الفلاحون النحل,,ربوا الفلاحون النحل,VS- V NOT agrees S in number
485,,هاجم الكفار على المدينة,,هاجموا الكفار على المدينة,VS- V NOT agrees S in number
486,,هرب الكفار أمام جيوش المسلمين,,هربوا الكفار أمام جيوش المسلمين,VS- V NOT agrees S in number
487,,زرع المسلمون الرعب في قلوب أعدائهم,,زرعوا المسلمون الرعب في قلوب أعدائهم,VS- V NOT agrees S in number
488,,كظم المؤمنون غيظهم,,كظموا المؤمنون غيظهم,VS- V NOT agrees S in number
489,,رسم الرسامان صور جميلة,,رسما الرسامان صور جميلة,VS- V NOT agrees S in number
490,,أطعم الأغنياء الناس الجائعين,,أطعموا الأغنياء الناس الجائعين,VS- V NOT agrees S in number
491,,دافعت المحاميات عن المتهم,,دافعن المحاميات عن المتهم,VS- V NOT agrees S in number
492,,رسب الطلاب في الامتحان,,رسبوا الطلاب في الامتحان,VS- V NOT agrees S in number
493,,جلبت المهندسات الماء إلى القرية,,جلبن المهندسات الماء إلى القرية,VS- V NOT agrees S in number
494,,يستوعب المدرسون طلابهم,,يستوعبون المدرسون طلابهم,VS- V NOT agrees S in number
495,,تتجاوب الطالبات مع مدرسهم,,تتجاوبن الطالبات مع مدرسهم,VS- V NOT agrees S in number
496,,خطف اللصوص الطفل,,خطفوا اللصوص الطفل,VS- V NOT agrees S in number
497,,وصفت المرشدتان حالة الطلاب,,وصفتا المرشدتان حالة الطلاب,VS- V NOT agrees S in number
498,,اكتشف العلماء الذرة,,اكتشفوا العلماء الذرة,VS- V NOT agrees S in number
499,,يطمع البخلاء بأملاك الناس,,يطمعوا البخلاء بأملاك الناس,VS- V NOT agrees S in number
500,,ينفق الكرماء أموالهم للمحتاجين,,ينفقوا الكرماء أموالهم للمحتاجين,VS- V NOT agrees S in number
501,,الطالبتان مجدتان,,الطالبة مجدتان,NS- Agrees in number
502,,العاملات ماهرات,,العاملة ماهرات,NS- Agrees in number
503,,المهندسون بارعون,,المهندس بارعون,NS- Agrees in number
504,,المدرستان كبيرتان,,المدرسة كبيرتان,NS- Agrees in number
505,,العلم مرفوع,,العلمان مرفوع,NS- Agrees in number
506,,الطلاب مهذبون,,الطالب مهذبون,NS- Agrees in number
507,,الباحة واسعة,,الباحتان واسعة,NS- Agrees in number
508,,الفتيات نشيطات,,الفتيات نشيطة,NS- Agrees in number
509,,الغيمة داكنة,,الغيمتان داكنة,NS- Agrees in number
510,,القصة مفيدة,,القصة مفيدتان,NS- Agrees in number
511,,الرجل ذكي,,الرجال ذكي,NS- Agrees in number
512,,العمل عفوي,,الأعمال عفوي,NS- Agrees in number
513,,الشجرة مباركة,,الشجر مباركة,NS- Agrees in number
514,,الفلاحان نشيطان,,الفلاح نشيطان,NS- Agrees in number
515,,العمال ماهرون,,العمال ماهر,NS- Agrees in number
516,,البنات لطيفات,,البنت لطيفات,NS- Agrees in number
517,,الخدمات متوفرة,,الخدمتان متوفرة,NS- Agrees in number
518,,الرايتان مرفوعتان,,الراية مرفوعتان,NS- Agrees in number
519,,النادل نظيف,,النادلان نظيفان,NS- Agrees in number
520,,الأفلام متنوعة,,الفلمان متنوعة,NS- Agrees in number
521,,الساعتان ثمينتان,,الساعتان ثمينة,NS- Agrees in number
522,,الصورة جميلة,,الصورتان جميلة,NS- Agrees in number
523,,الولد مبتسم,,الأولاد مبتسم ,NS- Agrees in number
524,,الأزهار متفتحة,,الزهرتان متفتحة ,NS- Agrees in number
525,,الأم مدرسة,,الأم مدارس ,NS- Agrees in number
526,,الطفل جميل,,الأطفال جميل ,NS- Agrees in number
527,,القاعدتان قيمتان,,القاعدة قيمتان,NS- Agrees in number
528,,القمر ساطع,,الأقمار ساطع,NS- Agrees in number
529,,المشروع مفيد,,المشاريع مفيد ,NS- Agrees in number
530,,النجم لامع,,النجوم لامع,NS- Agrees in number
531,,المال وفير,,الأموال وفير,NS- Agrees in number
532,,الجنديان شجاعان,,الجنديان شجاع,NS- Agrees in number
533,,البيت نظيف,,البيتان نظيف,NS- Agrees in number
534,,البحر كبير,,البحار كبير,NS- Agrees in number
535,,الحديقة جميلة,,الحديقتان جميلة,NS- Agrees in number
536,,البلبل جميل,,البلبلان جميل,NS- Agrees in number
537,,القدر مكتوب,,الأقدار مكتوب,NS- Agrees in number
538,,الكأس نظيف,,الكأسان نظيف ,NS- Agrees in number
539,,التفاح لذيذ,,التفاحتان لذيذ,NS- Agrees in number
540,,الفاكهة ناضجة,,الفاكهتان ناضجة,NS- Agrees in number
541,,الذرتان مشحونتان,,الذرة مشحونتان,NS- Agrees in number
542,,هذه اللوحة جميلة,,هاتان اللوحة جميلة,NS- Agrees in number
543,,هاتان القاعتان كبيرتان,,هاتان القاعة كبيرتان,NS- Agrees in number
544,,البستان جميل,,البساتين جميل,NS- Agrees in number
545,,الجو ماطر,,الأجواء ماطر,NS- Agrees in number
546,,الكتب ممتعة,,الكتابان ممتعة,NS- Agrees in number
547,,الرحلتان طويلتان,,الرحلة طويلتان,NS- Agrees in number
548,,الفلمان مشوقان,,الفلمان مشوق,NS- Agrees in number
549,,الصفتان مهمتان,,الصفتان مهمة ,NS- Agrees in number
550,,العملان مستمران,,العمل مستمران,NS- Agrees in number
551,,البحران واسعان,,البحر واسعان,NS- Agrees in number
552,,الدرة ثمينة,,الدرتان ثمينة,NS- Agrees in number
553,,هذا اللؤلؤ مكنون,,هاتان اللؤلؤ مكنون,NS- Agrees in number
554,,هذان المهندسان بارعان,,هذا المهندسان بارعان,NS- Agrees in number
555,,هؤلاء الأصدقاء مخلصون,,هذا الأصدقاء مخلصون,NS- Agrees in number
556,,الرحلة ممتعة,,الرحلتان ممتعة,NS- Agrees in number
557,,هذان العاملان نشيطان,,هؤلاء العاملان نشيطان,NS- Agrees in number
558,,الشمعة مضيئة,,الشمعتان مضيئة,NS- Agrees in number
559,,هذا الجبل شاهق,,هذان الجبل شاهق,NS- Agrees in number
560,,هاتان الوردتان جميلتان,,هذه الوردتان جميلتان,NS- Agrees in number
561,,المعلومة مفيدة,,المعلومتان مفيدة,NS- Agrees in number
562,,النافذة مفتوحة,,النافذتان مفتوحة,NS- Agrees in number
563,,المطر غزير,,الأمطار غزير,NS- Agrees in number
564,,الطائرات محلقات,,الطائرة محلقات,NS- Agrees in number
565,,هذان القاضيان عادلان,,هذا القاضيان عادلان,NS- Agrees in number
566,,هاتان العينان جميلتان,,هذه العينان جميلتان,NS- Agrees in number
567,,هذا البرج كبير,,هذا البروج كبير,NS- Agrees in number
568,,هذه الأستاذة متفائلة,,هذه الأستاذات متفائلة,NS- Agrees in number
569,,الفلاحات نشيطات,,الفلاحة نشيطات,NS- Agrees in number
570,,هذان الطالبان مجتهدان,,هذا الطالبان مجتهدان,NS- Agrees in number
571,,هاتان الفتاتان مهذبتان,,هذه الفتاتان مهذبتان,NS- Agrees in number
572,,هذا البناء عال,,هؤلاء البناء عال,NS- Agrees in number
573,,هذا الكأس نظيف,,هذان الكأس نظيف ,NS- Agrees in number
574,,هذان العاملان مبدعان,,هؤلاء العاملان مبدعان,NS- Agrees in number
575,,هؤلاء العمال نشيطون,,هذا العمال نشيطون,NS- Agrees in number
576,,هذا الصنف لذيذ,,هذان الصنف لذيذ,NS- Agrees in number
577,,الأغصان منكسرة,,الغصن منكسرة,NS- Agrees in number
578,,الأصدقاء مخلصون,,الأصدقاء مخلص,NS- Agrees in number
579,,الأوراق طويلة,,الورقتان طويلة,NS- Agrees in number
580,,السيف منكسر,,السيوف منكسر,NS- Agrees in number
581,,العمل متعب,,الأعمال متعب,NS- Agrees in number
582,,الفتاة خجولة,,الفتيات خجولة,NS- Agrees in number
583,,القنديل مضيء,,القناديل مضيء,NS- Agrees in number
584,,هاتان القاعدتان مفيدتان,,هذه القاعدتان مفيدتان,NS- Agrees in number
585,,الأعمال واجبة ,,العمل واجبة ,NS- Agrees in number
586,,الصحراء قاحلة,,الصحراء قاحلات,NS- Agrees in number
587,,الرمل ناعم,,الرمال ناعم,NS- Agrees in number
588,,هذان الجوابان صحيحان,,هذا الجوابان صحيحان,NS- Agrees in number
589,,هذا الحل مناسب,,هذان الحل مناسب,NS- Agrees in number
590,,الحكم عادل,,الحكمان عادل,NS- Agrees in number
591,,الفضاء واسع,,الفضاء واسعات,NS- Agrees in number
592,,المعلمات معطاءات,,المعلمة معطاءات,NS- Agrees in number
593,,هاتان العاملتان نشيطتان,,هذه العاملتان نشيطتان,NS- Agrees in number
594,,الشارع مزدحم,,الشوارع مزدحم,NS- Agrees in number
595,,الزهرة متفتحة,,الزهرتان متفتحة,NS- Agrees in number
596,,الأشجار مورقة ,,الشجرتان مورقة,NS- Agrees in number
597,,هذا الفتى سريع,,هذان الفتى سريع,NS- Agrees in number
598,,هذا محام بارع,,هؤلاء محام بارع,NS- Agrees in number
599,,الجنود مستعدون,,الجندي مستعدون,NS- Agrees in number
600,,هاتان الطبيبتان بارعتان,,هاتان الطبية بارعتان,NS- Agrees in number
601,,العاملات مبدعات,,العاملة مبدعات,NS- Agrees in number
602,,الفصلان معتدلان,,الفصل معتدلان,NS- Agrees in number
603,,الثلج جميل,,الثلوج جميل,NS- Agrees in number
604,,الشيوخ زاهدون,,الشيوخ زاهد,NS- Agrees in number
605,,العلاج فعال,,العلاجان فعال,NS- Agrees in number
606,,الفنانة رائعة,,الفنانات رائعة,NS- Agrees in number
607,,هذه الرواية مدهشة,,هاتان الرواية مدهشة,NS- Agrees in number
608,,هاتان الإشارتان صحيحتان,,هذه الإشارتان صحيحتان,NS- Agrees in number
609,,هذه الموسيقى حياة,,هاتان الموسيقى حياة,NS- Agrees in number
610,,الموسيقى غذاء الروح,,الموسيقى أغذية الروح,NS- Agrees in number
611,,الحذاء مبلول,,الأحذية مبلول,NS- Agrees in number
612,,الصانع متقن,,الصانعان متقن,NS- Agrees in number
613,,الأخ متفهم,,الإخوة متفهم,NS- Agrees in number
614,,هذان اللاعبان ماهران,,هذان اللاعب ماهران,NS- Agrees in number
615,,هذا البناء ضخم,,هذان البناء ضخم,NS- Agrees in number
616,,الوسيلتان تقليديتان,,الوسيلة تقليديتان ,NS- Agrees in number
617,,الراعي نشيط,,الراعيان نشيط ,NS- Agrees in number
618,,الفتاة مؤدبة,,الفتيات مؤدبة,NS- Agrees in number
619,,هذا الورق نظيف,,هاتان الورق نظيف,NS- Agrees in number
620,,القلم خشبي,,الأقلام خشبي,NS- Agrees in number
621,,هذا الشارع واسع,,هذان الشارع واسع,NS- Agrees in number
622,,القضاة عادلون,,القاضي عادلون ,NS- Agrees in number
623,,المعمل كبير,,المعامل كبير,NS- Agrees in number
624,,هذا المعدن مصقول,,هذان المعدن مصقول ,NS- Agrees in number
625,,الحجرتان واسعتان,,الحجرة واسعتان,NS- Agrees in number
626,,البطة جميلة,,البطتان جميلة,NS- Agrees in number
627,,هذه القصور مرتفعة,,هذان القصور مرتفعة,NS- Agrees in number
628,,العلمان مرفرفان,,العلم مرفرفان,NS- Agrees in number
629,,القرية مأهولة,,القريتان مأهولة,NS- Agrees in number
630,,هذا الفن جميل,,هذان الفن جميل,NS- Agrees in number
631,,هاتان الصلاتان فريضتان,,هاتان الصلاة فريضتان,NS- Agrees in number
632,,الشوارع فارغة,,الشارع فارغة,NS- Agrees in number
633,,هذا الذهب ثمين,,هذان الذهب ثمين,NS- Agrees in number
